CV_x,CM,Demanda,Demanda dia,%_Previsão,%ACC_Previsão,ABC_Previsão,CV_y,Soma de Total Unidades,PRD/DIA,%_BACKLOG,%ACC_BACKLOG,ABC_BACKLOG,ABC_AJUSTADO
95840.0,50369418.0,271520.379644433,8758.721924013968,0.02034638487740708,0.02034638487740708,AA,95840.0,46.0,21.5962441314554,7.584088582154638e-05,0.9633226881307368,C,AA
96703.0,50315466.0,232947.0810810811,7514.4219703574545,0.017455894006744424,0.037802278884151504,AA,96703.0,3072.0,1442.2535211267607,0.005064852200951968,0.4026508038309541,AA,AA
148288.0,50463576.0,151049.18096021,4872.5542245229035,0.01131887328405389,0.049121152168205395,AA,148288.0,6630.0,3112.6760563380285,0.010930979847757665,0.13333816956373357,AA,AA
135733.0,50437335.0,149785.8026496624,4831.800085472981,0.01122420200602374,0.060345354174229135,AA,135733.0,1767.0,829.5774647887324,0.00291327924449288,0.5292852985740267,AA,AA
135761.0,50437365.0,137840.0150648299,4446.45209886548,0.010329044183310609,0.07067439835753975,AA,135761.0,1860.0,873.2394366197184,0.003066609731045137,0.517490392113867,AA,AA
99137.0,50396102.0,129192.415214972,4167.497264999097,0.009681036122032017,0.08035543447957176,AA,99137.0,34.0,15.962441314553992,5.605630691157777e-05,0.9747647696003359,C,AA
135735.0,50437338.0,112040.1083584805,3614.197043821952,0.008395727677433577,0.08875116215700533,AA,135735.0,1546.0,725.8215962441315,0.0025489132495676243,0.567207390199709,AA,AA
95839.0,50367554.0,106564.5309678793,3437.5655150928806,0.007985415180223996,0.09673657733722933,AA,95839.0,12564.0,5898.591549295775,0.02071445411873715,0.048932209789079896,AA,AA
126265.0,50413175.0,90029.1081081081,2904.164777680907,0.006746332949799316,0.10348291028702865,AA,126265.0,116.0,54.460093896713616,0.00019125092946303002,0.9128967426339538,B,AA
108917.0,50361166.0,87363.7,2818.1838709677418,0.00654660054188965,0.11002951082891829,AA,108917.0,1318.0,618.7793427230047,0.0021730062502782204,0.60284436296129,A,AA
135740.0,50437342.0,86189.76753107844,2780.3150816476914,0.006458631889724235,0.11648814271864252,AA,135740.0,1169.0,548.8262910798122,0.0019273477288127767,0.6421645648299437,A,AA
161081.0,50494601.0,80677.17605532326,2602.489550171718,0.00604554574133085,0.12253368845997337,AA,161081.0,2.0,0.9389671361502347,3.2974298183281036e-06,0.9995268188210716,D,AA
146991.0,50460417.0,80055.13741887092,2582.4237877055134,0.005998933264129504,0.12853262172410287,AA,146991.0,,,,,D,AA
96704.0,50315467.0,79796.48648648648,2574.0802092414992,0.005979551251530356,0.13451217297563323,AA,96704.0,176.0,82.62910798122066,0.00029017382401287314,0.8735237818882077,A,AA
96701.0,50315465.0,78061.97297297297,2518.128160418483,0.005849575447993161,0.1403617484236264,AA,96701.0,7308.0,3430.9859154929577,0.01204880855617089,0.09979671345170008,AA,AA
95841.0,50303570.0,77478.35135135135,2499.3016564952045,0.005805841750537963,0.14616759017416436,AA,95841.0,37.0,17.370892018779344,6.100245163906992e-05,0.9712150864009047,C,AA
140445.0,50451457.0,72434.43243243243,2336.5945945945946,0.005427875589216476,0.15159546576338084,AA,140445.0,34.0,15.962441314553992,5.605630691157777e-05,0.9742602628381322,C,AA
100525.0,50399688.0,72428.75675675676,2336.411508282476,0.005427450282350421,0.15702291604573126,AA,100525.0,1.0,0.4694835680751174,1.6487149091640518e-06,0.9998664540923571,D,AA
131556.0,50424992.0,71585.35135135135,2309.204882301656,0.005364249682054649,0.16238716572778591,AA,131556.0,50.0,23.474178403755868,8.243574545820259e-05,0.9604868984869743,C,AA
131472.0,50424999.0,71523.35135135135,2307.204882301656,0.005359603710860696,0.1677467694386466,AA,131472.0,50.0,23.474178403755868,8.243574545820259e-05,0.9604044627415161,C,AA
135117.0,50436771.0,71263.63314511099,2298.8268756487414,0.005340141722074601,0.17308691116072122,AA,135117.0,483.0,226.7605633802817,0.000796329301126237,0.7670382320500289,A,AA
123127.0,50404314.0,69280.24324324324,2234.846556233653,0.005191516361583392,0.1782784275223046,AA,123127.0,14.0,6.572769953051644,2.3082008728296728e-05,0.9923351243872998,C,AA
146993.0,50460419.0,68232.55891507458,2201.050287583051,0.005113008116276495,0.1833914356385811,AA,146993.0,3.0,1.4084507042253522,4.946144727492156e-06,0.9992894038741537,D,AA
131332.0,50424242.0,62546.94594594595,2017.6434176111595,0.004686956598945241,0.18807839223752634,AA,131332.0,219.0,102.8169014084507,0.0003610685651069274,0.8524334207701814,A,AA
2829.0,50374194.0,60784.46226084705,1960.7891051886147,0.0045548848500616655,0.192633277087588,AA,2829.0,7392.0,3470.4225352112676,0.01218730060854067,0.08774790489552918,AA,AA
160307.0,50492340.0,60182.0787704004,1941.3573796903356,0.004509745231604762,0.19714302231919278,AA,160307.0,,,,,D,AA
108401.0,50359435.0,59916.40903408167,1932.787388196183,0.0044898372647976335,0.2016328595839904,AA,108401.0,5075.0,2382.629107981221,0.008367228164007564,0.32465999376785776,AA,AA
2814.0,50398676.0,58538.5945945946,1888.3417611159548,0.004386590713241673,0.2060194502972321,AA,2814.0,17115.0,8035.211267605634,0.028217755670342747,0.028217755670342747,AA,AA
148289.0,50463577.0,57552.91997328232,1856.5458055897523,0.0043127291665121985,0.2103321794637443,AA,148289.0,1501.0,704.6948356807512,0.002474721078655242,0.574694204602223,AA,AA
146992.0,50460418.0,57536.91540615317,1856.0295292307476,0.004311529863966171,0.21464370932771049,AA,146992.0,8.0,3.755868544600939,1.3189719273312415e-05,0.9968047905060402,C,AA
148291.0,50463579.0,56470.79521063564,1821.6385551817948,0.00423164012658446,0.21887534945429493,AA,148291.0,1380.0,647.887323943662,0.0022752265746463917,0.5962890724824537,AA,AA
135737.0,50437340.0,56396.01006732348,1819.2261312039832,0.004226036100430202,0.22310138555472514,AA,135737.0,850.0,399.0610328638498,0.001401407672789444,0.6888215480443771,A,AA
148293.0,50463581.0,55716.04898613459,1797.2919027785351,0.004175083203717093,0.22727646875844223,AA,148293.0,2405.0,1129.1079812206574,0.0039651593565395455,0.44290912448292197,AA,AA
136058.0,50437656.0,54026.64121853336,1742.7948780172053,0.0040484874001184504,0.2313249561585607,AA,136058.0,215.0,100.93896713615024,0.0003544737054702712,0.8542189790168059,A,AA
44452.0,50390019.0,53223.62162162162,1716.8910200523103,0.003988313111159873,0.23531326926972057,AA,44452.0,125.0,58.68544600938967,0.0002060893636455065,0.9055467715689005,B,AA
160306.0,50492339.0,53157.98547080727,1714.7737248647506,0.003983394664934624,0.2392966639346552,AA,160306.0,9.0,4.225352112676057,1.4838434182476469e-05,0.9961453045423739,C,AA
135750.0,50437353.0,52836.13658417013,1704.3915027151656,0.003959276912416528,0.24325594084707172,AA,135750.0,702.0,329.5774647887324,0.0011573978662331645,0.7210094092159869,A,AA
135726.0,50437328.0,52420.86168888655,1690.995538351179,0.0039281582801413755,0.2471840991272131,AA,135726.0,3240.0,1521.1267605633805,0.0053418363056915285,0.3872204809960877,AA,AA
120961.0,50436703.0,52168.75699232632,1682.86312878472,0.003909266809849777,0.2510933659370629,AA,120961.0,,,,,D,AA
116854.0,50385823.0,50179.59459459459,1618.6965998256321,0.0037602088872698385,0.25485357482433274,AA,116854.0,30.0,14.084507042253522,4.946144727492156e-05,0.978586490759776,C,AA
126267.0,50413176.0,49703.32432432433,1603.3330427201395,0.003724519565395452,0.2585780943897282,AA,126267.0,150.0,70.42253521126761,0.0002473072363746078,0.8905566556147813,B,AA
135751.0,50437354.0,49695.41451649736,1603.077887628947,0.0037239268437936172,0.2623020212335218,AA,135751.0,809.0,379.81220657277,0.001333810361513718,0.6998003406245005,A,AA
100605.0,50396101.0,49495.7027027027,1596.6355710549258,0.0037089614351810025,0.2660109826687028,AA,100605.0,16.0,7.511737089201878,2.637943854662483e-05,0.9905594584301273,C,AA
135239.0,50436883.0,47916.91764157765,1545.7070206960534,0.0035906551462224477,0.26960163781492524,AA,135239.0,192.0,90.14084507042254,0.000316553262559498,0.8658935292885965,A,AA
150661.0,50472477.0,47497.65906242348,1532.1825504007575,0.003559237996519738,0.273160875811445,AA,150661.0,3036.0,1425.3521126760563,0.0050054984642220616,0.40765630229517613,AA,AA
