codigo_do_material,codigo_de_venda,descrição_do_material,peso_liquido,peso_bruto,comprimento,largura,altura,volume_x
50073820,19959,AQUARELA-LAPIS LABIAL COR 04 (TERC),1.4,7.4,15,15,140,31.5
50073822,19957,AQUARELA-LAPIS OLHOS COR  01 (TERC),1.3,8,15,15,140,31.5
50073824,10725,AQUARELA - KIT PINCEIS TERC*,27.56,29.228,33,12,165,65.34
50073825,19946,AQUARELA-MASCARA PARA CILIOS PRETA,7.3,21.182,19.5,19.5,132,50.2
50073833,20024,AQUARELA-RF PO COMP COR 42 BEGE ROSADO,7,27.78,90,15,95,128.25
50074156,19980,AGUAS NATURA-DES  JABUTICABA  150ML,127.5,292.384,59.6,59.6,160.25,569.234
50074202,20323,AQUARELA-ESTOJO PO COMPACTO (TERC),49.808,56.704,80,22,80,140.8
50074396,20210,AGUAS NATURA-DES FOLHAS DE CRAVO 150ML,127.5,292.673,59.6,59.6,160.25,569.234
50074692,20411,M&B - GUIA GESTANTES,46.033,46.033,140,3,130,54.6
50075209,20653,AQUARELA-BATOM COR 7,4,22.9,26,26,69,46.64
50075220,20652,AQUARELA-BATOM COR 8,4,22.9,26,26,69,46.64
50075452,20955,CHRONOS-SERUM INTENSIVO PROJ BELA,30,136.3,38,36,113,154.59
50075453,20952,CHRONOS-CREME  PRIMEIROS SINAIS 25+ DIA,30,282.865,75,75,50,281.25
50075457,20954,CHRONOS RG EMULSAO LIMPEZA,156.75,207.6,44,44,157,303.95
50075458,20949,CHRONOS RF EMULSAO LIMPEZA,156.75,183.75,71,39,165,456.89
50075464,20948,CHRONOS-RF CREME PRIMEIROS SINAIS 25+DIA,30,45.8,60,60,38,136.8
50075486,20936,CHRONOS-RF CREME NOTURNO,30,45.167,60,60,38,136.8
50075511,20926,CHRONOS-LOCAO TONICA,100,207.8,44,44,157,303.95
50075515,20923,CHRONOS RF DEMAQUILANTE BIFASICO,100,166,6.24,6.24,6.24,0.243
50075521,20854,CHRONOS-RF ESPUMA LIMPEZA REFRES,150,177,71,39,165,456.89
50076581,21077,FACES DES COLONIA INTENSA 65ML,55.8,223.001,36,36,182,235.872
50076948,22882,CHRONOS RF 30+ N PASSIFLORA DERMOATIVO,50,80.851,60,60,38,136.8
50077824,21762,HUMOR 5 DESODORANTE COLONIA 75ML,63.8,271.35,54.5,48.5,188,496.931
50078905,20023,AQUA-RF PO COMP COR 46 CAST MEDIO(TERC)*,7,28.31,90,15,95,128.25
50078957,16302,TODODIA - SAB BAR PV FRT VERMELHASTERC,450,488.015,73,69.5,151,766.099
50079032,22560,KAIAK CLASSICO DESOD COLONIA CT,86,295,79,46,149,541.466
50079033,22558,KAIAK-CLASSICO DESOD COLONIA LT LATAM,86,351.842,65,37,135,324.68
50079042,22429,AMO CHAMEGO OLEO MASSAGE 100ML BR,109.5,140.3,52,52,125,338
50079182,9961,M&B-BELUGA SABONETES EM BARRA 2UND -TERC,200,222.041,61,69,95,399.85
50079184,9959,M&B-BELUGA SABONETE C/ SABONETEIRA(TERC,100,149.4,66,45,95,282.15
50079295,22925,DIVERSA-RF BEC MAT VIOLETA MARCOS COSTA,3.4,13.069,23,23,63,33.4
50079299,22930,DIVERSA-RF BEC CANDEIA CAMELIA MARCOS C,3.4,12.7,23,23,63,33.4
50079310,22924,DIVERSA-RF PALETTE EC SUBLIME,6,22.833,68,15,58,59.16
